date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-03-12,104 Ashburne,Paint & Flooring,Home Depot,Quarter Round,52.53,The Home Depot,2026-03-18,54.47,posted,https://drive.google.com/file/d/1hpwvObYLqmaPSSlup2IP9TsvwJ37Q46L/view?usp=drivesdk,gm-19d019ce67d9c5c3
2026-04-15,104 Ashburne,Supplies,Home Depot,Misc Supplies,51.38,The Home Depot,2026-04-15,-491.06,pending,https://mail.google.com/mail/u/0/#all/19d9259fe2484c26,gm-19d9259fe2484c26
2026-07-08,881 Newport,,Home Depot,Towels,51.12,The Home Depot,2026-07-08,87.93,dismissed,https://drive.google.com/file/d/11cCAWolWNeAq5AfFiOhbb5Mf4e3nDdWQ/view?usp=drivesdk,gm-19f41acfd298c9d7
2026-03-25,104 Ashburne,Small Baths,Home Depot,Hydro Seats,49.75,The Home Depot,2026-03-25,241.50,pending,https://mail.google.com/mail/u/0/#all/19d25017467ed73d,gm-19d25017467ed73d
2026-02-10,104 Ashburne,Master Bath,Home Depot,Angle Stops,49.54,The Home Depot,2026-02-10,200.87,pending,https://mail.google.com/mail/u/0/#all/19c48c68567fa017,gm-19c48c68567fa017
2026-03-18,104 Ashburne,Supplies,Home Depot,Screws,47.76,The Home Depot,2026-03-18,54.47,posted,https://drive.google.com/file/d/1hpwvObYLqmaPSSlup2IP9TsvwJ37Q46L/view?usp=drivesdk,gm-19d019ce67d9c5c3
2026-06-16,RECAST BIZ,Tools,The Home Depot,Hole Saw,47.60,The Home Depot,2026-06-18,47.93,posted,https://drive.google.com/file/d/14Vwq9UQyvA4guQDR9a0hjNvt71QqaZKP/view?usp=drivesdk,gm-19edabdf68ad91f0
2026-09-03,469 Brushwood,,Home Depot,Paint,46.55,The Home Depot,2026-09-03,55.87,posted,https://drive.google.com/file/d/1Cc5n079-sBSgOR_WLedbPXyISMXyWHyF/view?usp=drivesdk,gm-1a0679d10dfb58fc
2026-06-24,RECAST BIZ,Gas/Truck/Trailer,O'Reilly Auto Parts,VAL SYN5-20-5QT 5QT MOTOROIL,45.45,Amazon,2026-06-25,31.03,pending,https://mail.google.com/mail/u/0/#all/19f00ab9125115f9,gm-19f00ab9125115f9
2026-04-05,104 Ashburne,Paint & Flooring,Home Depot,Eurethane,45.40,The Home Depot,2026-03-11,43.77,dismissed,https://drive.google.com/file/d/1gZA5gdGfSyjnCAn3lTYWXoJzuRYOiYSk/view?usp=drivesdk,gm-19cde962bea0354f
2026-02-17,104 Ashburne,Small Baths,Home Depot,Shark Bite Toilet Connectors,44.99,The Home Depot,2026-03-11,43.77,dismissed,https://drive.google.com/file/d/1gZA5gdGfSyjnCAn3lTYWXoJzuRYOiYSk/view?usp=drivesdk,gm-19cde962bea0354f
2026-02-20,104 Ashburne,Small Baths,Home Depot,Shark Bite Toilet Connectors,44.99,The Home Depot,2026-03-11,43.77,dismissed,https://drive.google.com/file/d/1gZA5gdGfSyjnCAn3lTYWXoJzuRYOiYSk/view?usp=drivesdk,gm-19cde962bea0354f
2026-06-16,104 Ashburne,Supplies,Home Depot,Screws,44.03,The Home Depot,2026-06-16,126.66,dismissed,https://drive.google.com/file/d/1THdunvjQR7KaqWX3CA4tsx_oF9rpw-mA/view?usp=drivesdk,gm-19ed818d6be0fb42
2026-08-13,366 Mesa,,Lowe's,Nail Guards,43.84,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-01-13,104 Ashburne,Utilities,Energy Texas,Electricity,43.57,Atmos Energy,2026-01-13,57.65,pending,https://mail.google.com/mail/u/0/#all/19bbebe1e4fc35df,gm-19bbebe1e4fc35df
